Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;categoria;insegna;nro_apparecchi_tel_ricettiva;numero_servizi;numero_servizi_piano;piani_tot;piano_piano;posti_letto;posti_letto_piano;tipo_att_strut_extra;MUNICIPIO;LONGIT;LATIT;Location
C-AL/391;Viale LOMBARDIA N. 74 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale LOMBARDIA;74;2400;78;;4;albergo lombardia;;;;;;133;;Albergo;3;9.22376542349;45.4872738728;45.4872738728, 9.22376542349
C-AL/392;Via PRINCIPE EUGENIO N. 45 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via PRINCIPE EUGENIO;45;7223;10;;2;mary hotel fiera;;;;;;25;;Albergo;8;9.16685669127;45.4914903811;45.4914903811, 9.16685669127
C-AL/398;Via AOSTA N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via AOSTA;2;7227;15;;3;hotel bogart 2;;;;;;25;;Albergo;8;9.16648866023;45.4917439764;45.4917439764, 9.16648866023
C-AL/399;VIA PIERO DELLA FRANCESCA N. 60 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA PIERO DELLA FRANCESCA;60;7188;31;0;3;piccolo hotel;;;0;;;53;0;Albergo;8;9.16116897528624;45.4856640985304;45.4856640985304, 9.16116897528624
C-AL/400;Via LULLI GIOVANNI N. 11 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via LULLI GIOVANNI;11;2253;22;;1;hotel loris;;;;;;25;;Albergo;3;9.22101847865;45.48495602;45.48495602, 9.22101847865
C-AL/403;Via PORPORA NICOLA ANTONIO N. 143 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via PORPORA NICOLA ANTONIO;143;2229;10;0;1;hotel chopin;;;0;;;21;0;Albergo;3;9.2307534646;45.4861913355;45.4861913355, 9.2307534646
C-AL/404;Via SCARLATTI DOMENICO N. 22 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via SCARLATTI DOMENICO;22;2136;104;;3;hotel cristallo;;;;;;223;;Albergo;3;9.20844067166;45.4834571463;45.4834571463, 9.20844067166
C-AL/405;Via MAC MAHON num.045/a| (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via MAC MAHON;;7221;24;;2;hotel mac mahon;;;;;;44;;Albergo;;;;
C-AL/406;Via GAFFURIO FRANCHINO N. 1 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via GAFFURIO FRANCHINO;1;2138;19;;1;calipso;;;;;;32;;Albergo;3;9.20999160097;45.4839590107;45.4839590107, 9.20999160097
C-AL/407;Viale LOMBARDIA N. 59 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale LOMBARDIA;59;2400;11;0;1;hotel acapulco;;;0;;;18;0;Albergo;3;9.22336918422;45.4856197413;45.4856197413, 9.22336918422
C-AL/408;Via PLINIO CAIO SECONDO N. 22 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via PLINIO CAIO SECONDO;22;2144;14;;1;ambrosiana;;;;;;22;;Albergo;3;9.21420804538;45.4781900642;45.4781900642, 9.21420804538
C-AL/410;Via PAGANINI NICCOLO' N. 7 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via PAGANINI NICCOLO';7;2238;18;;3;HOTEL DORE';;;;;;39;;Albergo;3;9.21555662446;45.4835307865;45.4835307865, 9.21555662446
C-AL/412;Via GALLARATE N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via GALLARATE;2;7420;17;0;2;hotel bel sit;;;0;;;25;0;Albergo;8;9.14366430868;45.4932880544;45.4932880544, 9.14366430868
C-AL/414;Via RICORDI GIOVANNI N. 14 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via RICORDI GIOVANNI;14;2251;9;;1;pensione cuba;;;;;;14;;Albergo;3;9.219395263;45.4851511781;45.4851511781, 9.219395263
C-AL/416;Corso LODI N. 74 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Corso LODI;74;4068;27;;1;hotel del sud;;;;;;46;;Albergo;4;9.21635732251;45.4435695247;45.4435695247, 9.21635732251
C-AL/417;Via SOTTOCORNO PASQUALE N. 8 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via SOTTOCORNO PASQUALE;8;3152;13;;2;hotel dover;;;;;;24;;Albergo;4;9.20873540617;45.4655163641;45.4655163641, 9.20873540617
C-AL/419;Via LAZZARETTO N. 17 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via LAZZARETTO;17;2112;9;;1;pensione eva;;;;2;;20;;Albergo;2;9.20350666199;45.4794945469;45.4794945469, 9.20350666199
C-AL/421;Via INGEGNOLI FRANCESCO N. 20 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via INGEGNOLI FRANCESCO;20;2559;16;0;1;hotel adelchi lambrate;;;0;;;25;0;Albergo;3;9.23176917063;45.4873323263;45.4873323263, 9.23176917063
C-AL/422;Viale MILLE (DEI) N. 48 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale MILLE (DEI);48;3115;10;0;1;hotel aladin;;;0;;;17;0;Albergo;3;9.21752198818;45.470173997029;45.470173997029, 9.21752198818
C-AL/423;Viale TUNISIA N. 6 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale TUNISIA;6;2121;13;13;1;hotel kennedy;;;0;1;6;23;23;Albergo;3;9.20622095207;45.4770955079;45.4770955079, 9.20622095207
C-AL/424;Viale TUNISIA N. 6 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale TUNISIA;6;2121;12;0;1;hotel san tomaso;;;0;1;;25;0;Albergo;3;9.20622095207;45.4770955079;45.4770955079, 9.20622095207
C-AL/425;PIAZZA LEONARDO DA VINCI N. 10 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA LEONARDO DA VINCI;10;2208;13;0;1;leonardo da vinci;;;0;;;20;0;Albergo;3;9.22549751096;45.4772831937;45.4772831937, 9.22549751096
C-AL/428;Via SFORZA ASCANIO N. 81 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via SFORZA ASCANIO;81;5201;15;;2;albergo marte;;;;;;25;;Albergo;5;9.17594950035;45.4418479036;45.4418479036, 9.17594950035
C-AL/429;Corso VERCELLI N. 1 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Corso VERCELLI;1;6193;7;;1;hotel nicosia;;;;;;15;;Albergo;7;9.16443988275;45.4660763996;45.4660763996, 9.16443988275
C-AL/430;Viale MONZA N. 120 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Viale MONZA;120;2274;15;0;3;hotel nuovo metro;;;0;;;25;0;Albergo;2;9.22155653664;45.5012396478;45.5012396478, 9.22155653664
C-AL/433;Viale SABOTINO N. 16 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Viale SABOTINO;16;4046;13;0;3;hotel arco romana;;;0;;;25;0;;5;9.20037712157;45.4507917374;45.4507917374, 9.20037712157
C-AL/434;Via VITRUVIO N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via VITRUVIO;18;2134;19;8;2;hotel salerno;;;0;;;39;16;Albergo;3;9.20817240119;45.4817055157;45.4817055157, 9.20817240119
C-AL/435;Via REINA FRANCESCO N. 18 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via REINA FRANCESCO;18;3255;11;11;1;san giovanni;10;;0;;;20;20;Albergo;4;9.22697745576;45.4666652516;45.4666652516, 9.22697745576
C-AL/436;Via LIPPI FILIPPINO N. 50 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via LIPPI FILIPPINO;50;2196;10;2|3;2;hotel trentina;;;1|2;3;T|1|2;20;4|2;Albergo;3;9.22131638778;45.4832186906;45.4832186906, 9.22131638778
C-AL/437;Piazzale TRIPOLI N. 3 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Piazzale TRIPOLI;3;6130;10;;1;hotel tripoli;;;;;;20;;Albergo;6;9.14997522224;45.4588011969;45.4588011969, 9.14997522224
C-AL/440;Via PORPORA NICOLA ANTONIO N. 52 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via PORPORA NICOLA ANTONIO;52;2229;10;3|3|2;1;pensione oriente;;3;0|2|1;3;T|1|2;19;6|6|3;Albergo;3;9.22238756339;45.4859254277;45.4859254277, 9.22238756339
C-AL/442;Via BOSCOVICH RUGGERO N. 43 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via BOSCOVICH RUGGERO;43;2131;14;;3;hotel bagliori;;;;;;19;;Albergo;3;9.20659351093;45.480598568;45.480598568, 9.20659351093
C-AL/445;VIA TARCHETTI IGINIO UGO N. 2 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TARCHETTI IGINIO UGO;2;1060;282;0;4;nh touring;;;0;;;577;0;Albergo;1;9.19672305215;45.476861769;45.476861769, 9.19672305215
C-AL/447;Via CARCANO FILIPPO N. 39 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via CARCANO FILIPPO;39;6389;11;11;1;hotel amendola fiera;;;0;;;23;23;Albergo;7;9.14669679802;45.4736691996;45.4736691996, 9.14669679802
C-AL/448;Viale MILLE (DEI) N. 48 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale MILLE (DEI);48;3115;14;14;1;exellent;;;0;;;16;16;Albergo;3;9.21752198818;45.470173997029;45.470173997029, 9.21752198818
C-AL/449;Via LULLI GIOVANNI N. 4 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via LULLI GIOVANNI;4;2253;9;;1;hotel viola;;;;;;14;;Albergo;3;9.22128849417;45.4848222233;45.4848222233, 9.22128849417
C-AL/450;codvia 0000 num.020| ();ATTIVITA RICETTIVE - Strutt. albergh.;;;;14;0;2;hotel eden;;;0;2;;23;0;Albergo;;;;
C-AL/451;Via VITRUVIO N. 20 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via VITRUVIO;20;2134;17;0;2;hotel eden;;;0;2;;32;0;Albergo;3;9.20806098954;45.4817654711;45.4817654711, 9.20806098954
C-AL/452;VIA FAUCHE' GIOVANNI BATTISTA N. 15 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA FAUCHE' GIOVANNI BATTISTA;15;7192;153;0;4;una hotel scandinavia;;;0;;;292;0;Albergo;8;9.16420352104;45.485490301;45.485490301, 9.16420352104
C-AL/453;Via POLA N. 4 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via POLA;4;1156;39;;4;residence pola;;;;;;52;;Residence;2;9.19479594649;45.4886355712;45.4886355712, 9.19479594649
C-AL/454;VIA GALGARIO FRA' N. 4 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;VIA GALGARIO FRA';4;658;10;;1;hotel emmy;;;;;;20;;Albergo;;;;
C-AL/457;Viale ZARA N. 1 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Viale ZARA;1;1170;32;;4;casa albergo residence zara lagosta;;;;;;64;;Residence;9;9.19103972051;45.490160694;45.490160694, 9.19103972051
C-AL/459;VIA CIMAROSA DOMENICO N. 19 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;VIA CIMAROSA DOMENICO;19;6291;25;;2;residence cimarosa;;;;;;33;;Residence;7;9.15866691376;45.4640498225;45.4640498225, 9.15866691376
C-AL/461;Via MARCELLO BENEDETTO N. 47 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via MARCELLO BENEDETTO;47;2128;10;0;2;hotel due giardini;;;0;;;21;0;Albergo;3;9.20749992429;45.4808076676;45.4808076676, 9.20749992429
C-AL/464;Via MACCHI MAURO N. 79 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via MACCHI MAURO;79;2133;31;31;4;residenza delle citta;;;0;;;93;93;Residence;2;9.21088411747;45.4879134568;45.4879134568, 9.21088411747
C-AL/465;VIA SOPERGA N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA SOPERGA;24;2262;87;0;3;hotel soperga;;;0;;;157;0;Albergo;2;9.21025863984;45.4884812884;45.4884812884, 9.21025863984
C-AL/468;Via SAMMARTINI GIOVANNI BATTISTA N. 15 1ø piano| (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via SAMMARTINI GIOVANNI BATTISTA;15;1202;17;17;1;hotel central station;;;0;1;1;25;25;Albergo;2;9.2040284645;45.4878522683;45.4878522683, 9.2040284645
C-AL/469;Via RIPAMONTI GIUSEPPE N. 102 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via RIPAMONTI GIUSEPPE;102;4066;18;0;2;apollo;;;0;;;40;0;Albergo;5;9.19954395733;45.4406269948;45.4406269948, 9.19954395733
C-AL/470;Via CIMAROSA DOMENICO N. 6 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via CIMAROSA DOMENICO;6;6291;66;;4;hotel capitol millennium;;;;;;111;;Albergo;7;9.158772075;45.466204017;45.466204017, 9.158772075
C-AL/471;VIA GIOIA MELCHIORRE N. 6 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIA GIOIA MELCHIORRE;6;1108;99;0;4;NH COLLECTION PORTA NUOVA;;;0;;;198;0;Albergo;9;9.19164652228;45.4812791016;45.4812791016, 9.19164652228
C-AL/473;VIA DI TOCQUEVILLE ALESSIO N. 7 alessio di tocqueville 7/d (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIA DI TOCQUEVILLE ALESSIO;7;1703;109;0;4;una hotel tocq;;;0;;;272;0;Albergo;9;9.18612081379;45.4828462512;45.4828462512, 9.18612081379
C-AL/474;Corso COLOMBO CRISTOFORO N. 15 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Corso COLOMBO CRISTOFORO;15;5114;39;;3;hotel minerva;;;;;;60;;Albergo;6;9.1708583137;45.4538722316;45.4538722316, 9.1708583137
C-AL/475;Via VITRUVIO N. 28 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via VITRUVIO;28;2134;14;0;2;hotel 2000;;;0;;;25;0;Albergo;3;9.20767400748;45.481973311;45.481973311, 9.20767400748
C-AL/477;Via POLO MARCO N. 13 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via POLO MARCO;13;1103;27;0;2;hotel trieste;;;0;;;62;0;Albergo;9;9.19446222495518;45.4803785345476;45.4803785345476, 9.19446222495518
C-AL/480;Via LAZZARETTO N. 5 angolo finocchiaro aprile| (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via LAZZARETTO;5;2112;103;0;4;nh machiavelli;;;0;;;203;0;Albergo;2;9.20165037441;45.477605855;45.477605855, 9.20165037441
C-AL/481;VIA LAMPEDUSA N. 11/3 lampedusa 11/3 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;VIA LAMPEDUSA;11/3;5329;328;;4;atahotel quark 2;;;;;;736;;Albergo;5;9.18971433736;45.4362235643;45.4362235643, 9.18971433736
C-AL/483;VIA PLINIO CAIO SECONDO N. 22 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA PLINIO CAIO SECONDO;22;2144;16;0;1;ambrosiana;;;0;;;22;0;Albergo;3;9.21420804538;45.4781900642;45.4781900642, 9.21420804538
C-AL/485;Corso COLOMBO CRISTOFORO N. 15 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Corso COLOMBO CRISTOFORO;15;5114;44;0;3;hotel minerva;;;0;;;67;0;Albergo;6;9.1708583137;45.4538722316;45.4538722316, 9.1708583137
C-AL/488;Via SCIALOIA VITTORIO N. 3 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via SCIALOIA VITTORIO;3;1086;60;0;3;hotel la residenza;;;0;;;100;0;Albergo;9;9.1785313623;45.5123164082;45.5123164082, 9.1785313623
C-AL/494;VIA MURATORI LODOVICO N. 14 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;VIA MURATORI LODOVICO;14;4076;93;0;4;una hotel mediterraneo;;;0;;;206;0;Albergo;4;9.20597621638;45.451821539;45.451821539, 9.20597621638
C-AL/497;Via NOVARA N. 371 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via NOVARA;371;6624;18;0;2;hotel san siro fiera;;;0;;;33;0;Albergo;7;9.09091213198;45.4825948138;45.4825948138, 9.09091213198
C-AL/498;Via VARE' GIOVANNI BATTISTA N. 32 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via VARE' GIOVANNI BATTISTA;32;1245;35;;3;hotel valganna;;;;;;63;;Albergo;9;9.1618220012;45.5025510327;45.5025510327, 9.1618220012
C-AL/499;Piazzale LOTTO LORENZO N. 14 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Piazzale LOTTO LORENZO;14;6539;27;;3;HOTEL ORO BLU;;;;;;48;;Albergo;8;9.14348931984;45.4806362134;45.4806362134, 9.14348931984
C-AL/880;VIA STAMIRA D'ANCONA N. 27 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA STAMIRA D'ANCONA;27;2337;167;167;4;ramada plaza milan;;;0;;;334;334;Albergo;2;9.22812836818;45.5017332656;45.5017332656, 9.22812836818
C-AL/880;VIA STAMIRA D'ANCONA N. 27 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA STAMIRA D'ANCONA;27;2337;167;167;4;ramada plaza milan;;;0;;;334;334;Albergo;2;9.2281188638178;45.5018415405579;45.5018415405579, 9.2281188638178
C-AL/501;Piazza MARIA DEL SUFFRAGIO (SANTA) N. 3 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza MARIA DEL SUFFRAGIO (SANTA);3;3078;15;0;2;xxii marzo;;;0;;;25;0;Albergo;4;9.21170596781;45.4627675719;45.4627675719, 9.21170596781
C-AL/503;VIA ROSSI PELLEGRINO N. 59 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIA ROSSI PELLEGRINO;59;1510;21;0;1;HOTEL SALUS;;;0;;;37;0;Albergo;9;9.17498742325;45.5117073615;45.5117073615, 9.17498742325
C-AL/505;Via PANIZZA BARTOLOMEO N. 5 2^ e 4° piano| (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via PANIZZA BARTOLOMEO;5;6208;18;0;3;hotel panizza;;;0;;;35;0;Albergo;7;9.16335759445;45.4641468027;45.4641468027, 9.16335759445
C-AL/507;Via BRIVIO CESARE N. 33 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via BRIVIO CESARE;33;1502;12;0;2;HOTEL BRIVIO;;;0;;;21;0;Albergo;9;9.17879309102;45.5056493411;45.5056493411, 9.17879309102
C-AL/508;Corso SEMPIONE num.091| (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Corso SEMPIONE;;7137;113;0;4;enterprise hotel;;;0;;;216;0;Albergo;;;;
C-AL/509;VIALE FAMAGOSTA N. 50 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE FAMAGOSTA;50;5353;45;0;3;green house;;;0;;;92;0;Albergo;6;9.16430407252;45.4371113843;45.4371113843, 9.16430407252
C-AL/511;Viale PICENO N. 33 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Viale PICENO;33;3114;17;17;2;hotel dateo;;;0;;;33;33;Albergo;4;9.21705869093;45.4660075651;45.4660075651, 9.21705869093
C-AL/512;Via CERVA N. 16 residence cerva| (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via CERVA;16;314;7;;3;residence cerva;;;;;;7;;Residence;1;9.19887750542;45.4642515799;45.4642515799, 9.19887750542
C-AL/514;Piazza BUONARROTI MICHELANGELO N. 31 r.t.a.con 23 alloggi e 24 p.l.| (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza BUONARROTI MICHELANGELO;31;6252;23;;2;residence le corti;;;;;;24;;Residence;8;9.15497649413;45.4708968214;45.4708968214, 9.15497649413
C-AL/519;Via PORLEZZA N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via PORLEZZA;4;611;36;0;3;hotel genius down town;;;0;;;60;0;Albergo;1;9.18238616038;45.4671120583;45.4671120583, 9.18238616038
C-AL/522;Via PONTE SEVESO N. 38 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via PONTE SEVESO;38;1203;47;0;3;hotel terminal;;;0;;;95;0;Albergo;2;9.20558137584;45.4900409545;45.4900409545, 9.20558137584
C-AL/524;Via COLA MONTANO N. 29 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via COLA MONTANO;29;1139;21;0;2;r.t.a. cola montano;;;0;;;21;0;Residence;9;9.18592466685;45.4900629023;45.4900629023, 9.18592466685
C-AL/525;Via GOLDONI CARLO N. 84 3 e 4 piano| (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Via GOLDONI CARLO;84;3183;14;0;3;royal;;;0;;;25;0;Albergo;3;9.22187582235;45.4692670111;45.4692670111, 9.22187582235
C-AL/526;VIA LODOVICO IL MORO N. 117 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;VIA LODOVICO IL MORO;117;5290;51;0;4;hotel cà bianca corte del naviglio;;;0;;;102;0;Albergo;6;9.13722215113;45.4436118127;45.4436118127, 9.13722215113
C-AL/532;Via RAFFAELE (SAN) N. 6 via san raffaele 7/9| (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via RAFFAELE (SAN);6;207;21;0;5;the gray;;;0;;;32;0;Albergo;1;9.19133608652;45.4656736867;45.4656736867, 9.19133608652
C-AL/533;Via GROSSI TOMMASO N. 1 licenza rilasciata dallo suap| (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via GROSSI TOMMASO;1;105;106;0;5 LUSSO;park hyatt milano;;;0;;;212;0;Albergo;1;9.18890964344;45.4655378189;45.4655378189, 9.18890964344
C-AL/539;Via SENIGALLIA N. 6 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via SENIGALLIA;6;1708;423;;4;il leonardo da vinci;;;;;;922;;Residence;9;9.17074465745;45.5321874186;45.5321874186, 9.17074465745
C-AL/544;Via UGOLINI GIUSEPPE num.021/3| (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via UGOLINI GIUSEPPE;;1425;8;8;2;hotel greco;;;0;;;20;20;Albergo;;;;
C-AL/545;Via SPINOLA AMBROGIO N. 9 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via SPINOLA AMBROGIO;9;6369;29;0;3;HOTEL FIERA CONGRESSI;;;0;;;53;0;Albergo;8;9.15341244758;45.4752982588;45.4752982588, 9.15341244758
C-AL/546;Viale CERTOSA N. 26 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale CERTOSA;26;7174;25;25;3;hotel certosa;;;0;;;50;50;Albergo;8;9.15227174274;45.4899661947;45.4899661947, 9.15227174274
C-AL/547;VIA PECCHIO GIUSEPPE N. 2 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA PECCHIO GIUSEPPE;2;658;26;0;3;hotel del corso;;;0;;;45;0;Albergo;;;;
C-AL/553;Via MOLINO DELLE ARMI N. 1 attivita' promiscua rta e albe| (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via MOLINO DELLE ARMI;1;591;17;0;4;petit palais;;;0;;;23;0;Residence;1;9.18713808795;45.4559832597;45.4559832597, 9.18713808795
C-AL/554;Via RAFFAELE (SAN) N. 3 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via RAFFAELE (SAN);3;207;64;0;4;straf;;;0;;;118;0;Albergo;1;9.19127047245;45.4651848591;45.4651848591, 9.19127047245
C-AL/555;Viale ISONZO N. 14 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Viale ISONZO;14;4211;172;0;4;grand visconti palace;;;0;;;388;0;Albergo;5;9.20655163189;45.4470547158;45.4470547158, 9.20655163189
C-AL/558;Via GABBA (F.LLI) N. 7 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via GABBA (F.LLI);7;146;59;0;l;bulgari hotels E resorts milano;;;0;;;118;0;Albergo;1;9.18977357593;45.47033836;45.47033836, 9.18977357593
C-AL/571;PIAZZA MARIA DEL SUFFRAGIO (SANTA) N. 3 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA MARIA DEL SUFFRAGIO (SANTA);3;658;17;0;2;ARCO HOTEL;;;0;;;25;0;Albergo;1;9.17754762318;45.4650073038;45.4650073038, 9.17754762318
C-AL/577;VIA MASACCIO N. 19 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA MASACCIO;19;6420;291;0;5;MELIA' MILANO;;;0;;;562;0;Albergo;8;9.14573545904;45.479125919;45.479125919, 9.14573545904
C-AL/586;VIA TORRIANI NAPO N. 17 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TORRIANI NAPO;17;2126;16;0;3;dependance hotel berna;;;0;;;24;0;Albergo;2;9.20309646878;45.4827741642;45.4827741642, 9.20309646878
C-AL/593;PIAZZA OBERDAN GUGLIELMO N. 12 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA OBERDAN GUGLIELMO;12;2108;30;0;3;hotel mercure milano centro porta venezi;;;0;;;57;0;Albergo;3;9.20594447042;45.4747341705;45.4747341705, 9.20594447042
C-AL/594;Viale LOMBARDIA N. 55 licenza rilasciata dallo sport| (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale LOMBARDIA;55;2400;28;0;3;HOTEL SAN FRANCISCO;;;0;;;55;0;Albergo;3;9.22336148311;45.4854866085;45.4854866085, 9.22336148311
C-AL/595;Largo RIO DE JANEIRO N. 12 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Largo RIO DE JANEIRO;12;3174;29;0;4;hotel dieci;;;0;;;41;0;Albergo;3;9.22407858426;45.4738462669;45.4738462669, 9.22407858426
C-AL/596;Via CAMPERIO MANFREDO N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via CAMPERIO MANFREDO;9;610;23;|13;4;CAMPERIO HOUSE SUITES & APARTMENTS;;;;;;50;|25;Residence;1;9.18300251442;45.466803267;45.466803267, 9.18300251442
C-AL/597;Via CORTINA D'AMPEZZO N. 17 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via CORTINA D'AMPEZZO;17;4259;13;0;2;hotel alessander;;;0;;;23;0;Albergo;5;9.20835781895;45.4355434834;45.4355434834, 9.20835781895
C-AL/598;VIA SPEZIA N. 25 rilascio licenza dallo suap| (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;VIA SPEZIA;25;658;76;0;4;mini hotel la spezia;;;0;;;128;0;Albergo;;;;
C-AL/616;VIA PIRELLI GIOVANNI BATTISTA N. 5 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA PIRELLI GIOVANNI BATTISTA;5;658;10;0;2;hotel stazione;;;0;;;23;0;Albergo;;;;
C-AL/617;CORSO VENTIDUE MARZO N. 43 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;CORSO VENTIDUE MARZO;43;658;9;0;1;HOTEL MIDTOWN;;;0;;;15;0;Albergo;;;;
